Date,Name,Year,Letterboxd URI,Rating,Average Rating,Length (mins)
2020-08-07,Inception,2010,https://boxd.it/1skk,4.0,4.19,148.0
2020-08-07,Joker,2019,https://boxd.it/h4cS,3.5,3.84,122.0
2020-08-07,Fight Club,1999,https://boxd.it/2a9q,3.5,4.27,139.0
2020-08-07,Spirited Away,2001,https://boxd.it/2b4m,2.5,4.45,125.0
2020-08-07,Inglourious Basterds,2009,https://boxd.it/1JzG,4.0,4.34,153.0
2020-08-07,Baby Driver,2017,https://boxd.it/bhF2,3.0,3.72,113.0
2020-08-07,1917,2019,https://boxd.it/jj4y,4.0,4.11,119.0
2020-08-07,Django Unchained,2012,https://boxd.it/2cCk,5.0,4.27,165.0
2020-08-07,Arrival,2016,https://boxd.it/aNGk,3.5,4.12,116.0
2020-08-07,Avengers: Endgame,2019,https://boxd.it/9vE4,4.5,3.87,181.0
2020-08-07,Shutter Island,2010,https://boxd.it/1U82,5.0,4.11,138.0
2020-08-07,Forrest Gump,1994,https://boxd.it/728,3.0,4.13,142.0
2020-08-07,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.0,4.41,124.0
2020-08-07,The Breakfast Club,1985,https://boxd.it/27q4,3.5,3.76,98.0
2020-08-07,The Dark Knight Rises,2012,https://boxd.it/H3m,2.5,3.74,165.0
2020-08-07,Howl's Moving Castle,2004,https://boxd.it/23De,2.5,4.32,119.0
2020-08-07,Schindler's List,1993,https://boxd.it/2aq2,3.5,4.52,195.0
2020-08-07,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4.0,4.09,141.0
2020-08-07,Titanic,1997,https://boxd.it/2a2k,3.0,3.81,194.0
2020-08-07,Batman Begins,2005,https://boxd.it/2aIg,3.5,3.8,140.0
2020-08-07,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4.0,3.92,103.0
2020-08-07,Kill Bill: Vol. 1,2003,https://boxd.it/70w,3.0,4.19,111.0
2020-08-07,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,2.0,2.97,152.0
2020-08-07,Deadpool,2016,https://boxd.it/9fOC,3.5,3.67,108.0
2020-08-07,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3.5,3.47,133.0
2020-08-07,The Avengers,2012,https://boxd.it/1xFW,4.0,3.64,143.0
2020-08-07,Logan,2017,https://boxd.it/7Piy,3.5,4.1,137.0
2020-08-07,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,1.0,2.36,142.0
2020-08-07,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5,3.37,129.0
2020-08-07,The Hateful Eight,2015,https://boxd.it/8gw8,3.5,3.94,188.0
2020-08-07,Iron Man,2008,https://boxd.it/28dA,3.0,3.69,126.0
2020-08-07,The Incredibles,2004,https://boxd.it/1XLm,3.0,4.07,115.0
2020-08-07,Toy Story 4,2019,https://boxd.it/9ALu,3.5,3.42,100.0
2020-08-07,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,4.5,3.72,129.0
2020-08-07,Pan's Labyrinth,2006,https://boxd.it/28No,2.5,4.16,118.0
2020-08-07,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,3.5,4.06,136.0
2020-08-07,Toy Story 3,2010,https://boxd.it/1WRe,3.0,3.99,103.0
2020-08-07,Ready Player One,2018,https://boxd.it/aZes,2.0,3.24,140.0
2020-08-07,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,3.0,4.16,115.0
2020-08-07,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,3.5,3.8,140.0
2020-08-07,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,2.0,2.88,136.0
2020-08-07,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,3.0,3.93,103.0
2020-08-07,The Disaster Artist,2017,https://boxd.it/cTqc,3.5,3.56,104.0
2020-08-07,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3.0,3.8,157.0
2020-08-07,Hot Fuzz,2007,https://boxd.it/2416,5.0,4.08,121.0
2020-08-07,Dead Poets Society,1989,https://boxd.it/2aSg,3.5,4.25,128.0
2020-08-07,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,3.5,3.69,146.0
2020-08-07,Skyfall,2012,https://boxd.it/17Fc,3.5,3.9,143.0
2020-08-07,12 Angry Men,1957,https://boxd.it/2auI,3.5,4.62,97.0
2020-08-07,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,5.0,3.96,147.0
2020-08-07,Full Metal Jacket,1987,https://boxd.it/2a1Q,2.5,4.2,117.0
2020-08-07,Okja,2017,https://boxd.it/dvXe,2.0,3.7,122.0
2020-08-07,V for Vendetta,2005,https://boxd.it/29Ik,3.5,3.84,132.0
